,title,author,date,category,word,count
6126,"AND THOU ART DEAD, AS YOUNG AND FAIR","George Gordon (Lord)
                    Byron (1788-1824)",1788,Poems on Death,thou,7
7485,AN ACCOUNT OF THE GREATEST ENGLISH POETS,Joseph Addison (1672-1719),1672,Poems on Poetry,his,7
6885,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,this,7
1673,"THE BATTLE OF SALAMIS (from ""The Persians"")",Aeschylus,525,Historical Poems,all,7
4670,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,shore,7
4208,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,love,7
1217,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,when,7
4669,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,night,7
3077,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,young,7
3085,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,upon,7
6850,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,loved,6
5225,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,you,6
8963,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,his,6
3195,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,will,6
8971,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,little,6
3199,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,your,6
5993,OUR LITTLE GHOST,Louisa May Alcott (1832-1888),1832,"Poems
                              on Children",ghost,6
4727,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,spread,6
2002,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,you,6
1883,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,honest,6
1874,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,their,6
5110,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,youth,6
6369,THE BURIAL OF THE DANE,"Henry Howard Brownell
                    (1820-1872)",1820,Poems on Death,his,6
4096,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,ride,6
7916,POE'S COTTAGE AT FORDHAM,John Henry Boner (1845-1903),1845,Poems on Poetry,his,6
1194,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,men,6
5096,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,your,6
4709,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,waves,6
3055,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,alice,6
6860,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,none,6
6276,"AND THOU ART DEAD, AS YOUNG AND FAIR","George Gordon (Lord)
                    Byron (1788-1824)",1788,Poems on Death,thy,6
5033,BESSIE'S SONG TO HER DOLL,Lewis Carroll (1832-1898),1832,Poems for Children,matilda,6
5226,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,said,6
4728,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,myself,6
3094,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,you,6
8346,THE DANCE OF DEATH,Charles Baudelaire,1821,Poems on the Supernatural,you,6
4141,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,black,6
6813,CHANCE MEETINGS,Conrad Aiken (1889-1973),1889,Poems on Loneliness,you,6
4736,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,face,6
9537,ALL THINGS ARE FULL OF GOD,"John Stuart Blackie
                    (1809-1895)",1809,Religious Poems,all,6
4762,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,ever,6
1852,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,day,6
5020,BESSIE'S SONG TO HER DOLL,Lewis Carroll (1832-1898),1832,Poems for Children,jane,6
1245,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,work,6
3889,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,then,6
3159,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,ive,6
8887,BANNOCKBURN,Robert Burns (1759-1796),1759,Poems on War,wha,5
2335,A BUBBLE,Ambrose Bierce (1842-1914),1863,Humorous Poems,her,5
4089,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,castle,5
5623,TO MY DEAR AND LOVING HUSBAND,Anne Bradstreet (c.1612-1672),1612,Poems for Weddings,love,5
3057,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,father,5
1073,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,dead,5
2821,THE ANSWER,Orrick Johns (1887-1946),1342,Love Poems,your,5
5224,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,who,5
4088,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,belton,5
4741,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,touch,5
3056,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,brown,5
9053,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,famous,5
3794,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,sands,5
4330,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,down,5
3844,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,like,5
8145,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,some,5
5744,CRADLE SONG,William Blake (1757-1827),1757,"Poems
                              on Children",little,5
1195,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,there,5
2629,AFTERMATH,"Guy Wetmore Carryl
                    (1873-1904)",1721,Love Poems,your,5
3469,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,captain,5
614,"SONG OF THE FURIES (from ""The Eumenides"")",Aeschylus,525,Dramatic Poems,all,5
3473,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,shore,5
3479,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,yet,5
415,"THE SACRIFICE OF IPHIGENIA (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,dire,5
1388,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,them,5
1364,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,heard,5
8991,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,what,5
4673,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,long,5
7821,A FIT OF RHYME AGAINST RHYME,Ben Jonson (1572-1637),1572,Poems on Poetry,his,5
6180,"AND THOU ART DEAD, AS YOUNG AND FAIR","George Gordon (Lord)
                    Byron (1788-1824)",1788,Poems on Death,love,5
4133,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,our,5
7397,"JOHN ANDERSON, MY JO",Robert Burns (1759-1796),1759,Poems on Old Age,your,5
400,"THE SACRIFICE OF IPHIGENIA (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,their,5
1854,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,sea,5
1856,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,boston,5
1163,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,hath,5
4111,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,mist,5
4805,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,joy,5
2975,THE BALCONY,Charles Baudelaire,1820,Love Poems,those,5
1877,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,all,5
3259,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,robber,5
9365,BATTLE OF FONTENOY,Bartholomew Dowling (1823-1863),1823,Poems on War,today,5
9368,BATTLE OF FONTENOY,Bartholomew Dowling (1823-1863),1823,Poems on War,upon,5
4729,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,through,5
2882,BALADE,Geoffrey Chaucer (1342?-1400),1821,Love Poems,your,5
4125,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,still,5
6852,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,eyes,5
3150,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,have,5
384,"THE SACRIFICE OF IPHIGENIA (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,more,5
1851,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,each,5
973,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,eyes,5
9511,ALL THINGS ARE FULL OF GOD,"John Stuart Blackie
                    (1809-1895)",1809,Religious Poems,god,5
6183,"AND THOU ART DEAD, AS YOUNG AND FAIR","George Gordon (Lord)
                    Byron (1788-1824)",1788,Poems on Death,can,5
4982,CRADLE SONG,William Blake (1757-1827),1757,Poems for Children,little,5
1739,"THE BATTLE OF SALAMIS (from ""The Persians"")",Aeschylus,525,Historical Poems,your,5
4091,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,side,5
3138,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,said,5
4094,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,three,5
3370,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,one,5
4719,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,sea,5
1231,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,you,5
4095,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,days,5
9733,THE DOUBTER'S PRAYER,Anne Bronte (1820-1849),1820,Religious Poems,all,5
6803,CHANCE MEETINGS,Conrad Aiken (1889-1973),1889,Poems on Loneliness,shadows,4
3142,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,most,4
3107,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,sorter,4
2544,THE EMBARRASSING EPISODE OF LITTLE MISS MUFFET,"Guy Wetmore Carryl
                    (1873-1904)",1832,Humorous Poems,this,4
8541,THE FAIRIES,William Allingham (1824-1889),1824,Poems on the Supernatural,folk,4
6907,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,soul,4
5854,"LALILA, TO THE FERENGI LOVER",slated into English by: Laurence Hope (1865-1904),1865,"Poems
                              on Children",have,4
5844,"LALILA, TO THE FERENGI LOVER",slated into English by: Laurence Hope (1865-1904),1865,"Poems
                              on Children",only,4
5852,"LALILA, TO THE FERENGI LOVER",slated into English by: Laurence Hope (1865-1904),1865,"Poems
                              on Children",life,4
6845,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,earth,4
8318,THE DANCE OF DEATH,Charles Baudelaire,1821,Poems on the Supernatural,every,4
1239,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,who,4
8532,THE FAIRIES,William Allingham (1824-1889),1824,Poems on the Supernatural,down,4
235,THE DREAM CALLED LIFE,"Pedro Calderón
                    de la Barca (1600-1681)",1600,Dramatic Poems,wake,4
6950,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,there,4
3738,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,man,4
5737,CRADLE SONG,William Blake (1757-1827),1757,"Poems
                              on Children",sleep,4
1210,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,still,4
1328,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,columns,4
238,THE DREAM CALLED LIFE,"Pedro Calderón
                    de la Barca (1600-1681)",1600,Dramatic Poems,dreaming,4
1240,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,stood,4
7230,AT THE OLD LADIES' HOME,"Ruth Guthrie Harding
                    (1882-?)",1882,Poems on Old Age,her,4
2495,THE EMBARRASSING EPISODE OF LITTLE MISS MUFFET,"Guy Wetmore Carryl
                    (1873-1904)",1832,Humorous Poems,she,4
6888,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,hour,4
6933,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,all,4
3721,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,sea,4
5966,OUR LITTLE GHOST,Louisa May Alcott (1832-1888),1832,"Poems
                              on Children",when,4
1319,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,then,4
5607,TO MY DEAR AND LOVING HUSBAND,Anne Bradstreet (c.1612-1672),1612,Poems for Weddings,ever,4
1220,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,have,4
520,"THE SACRIFICE OF IPHIGENIA (from ""Agamemnon"")",Aeschylus,525,Dramatic Poems,she,4
3466,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,hundred,4
7477,AN ACCOUNT OF THE GREATEST ENGLISH POETS,Joseph Addison (1672-1719),1672,Poems on Poetry,age,4
1222,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,through,4
3461,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,ship,4
7488,AN ACCOUNT OF THE GREATEST ENGLISH POETS,Joseph Addison (1672-1719),1672,Poems on Poetry,wit,4
6855,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,desolate,4
7844,A FIT OF RHYME AGAINST RHYME,Ben Jonson (1572-1637),1572,Poems on Poetry,may,4
1149,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,harrington,4
3422,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,smoke,4
1132,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,head,4
3386,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,oer,4
7762,A FIT OF RHYME AGAINST RHYME,Ben Jonson (1572-1637),1572,Poems on Poetry,did,4
3248,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,this,4
6853,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,like,4
5864,"LALILA, TO THE FERENGI LOVER",slated into English by: Laurence Hope (1865-1904),1865,"Poems
                              on Children",his,4
8052,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,like,4
8162,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,their,4
8144,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,while,4
3074,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,one,4
6654,A DEATH-SCENE,Emily Brontë (1818-1848),1818,Poems on Death,thy,4
6642,A DEATH-SCENE,Emily Brontë (1818-1848),1818,Poems on Death,thee,4
3521,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,flames,4
8045,TO A LADY WHO SPOKE SLIGHTINGLY OF POETS,Washington Allston (1779-1843),1779,Poems on Poetry,his,4
3482,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,john,4
3508,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,voice,4
6871,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,light,4
7392,"JOHN ANDERSON, MY JO",Robert Burns (1759-1796),1759,Poems on Old Age,anderson,4
3487,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,wheel,4
7001,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,thy,4
3483,JOHN MAYNARD,Horatio Alger (1832-1899),1832,Narrative Poems,maynard,4
3088,GENTLE ALICE BROWN,W.S. Gilbert (1836-1911),1836,Narrative Poems,good,4
8544,THE FAIRIES,William Allingham (1824-1889),1824,Poems on the Supernatural,all,4
6917,THE DESOLATE CITY,"Wilfrid Scawen Blunt
                    (1840-1922)",1840,Poems on Loneliness,thou,4
9028,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,said,4
754,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Historical Poems,deep,4
9017,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,many,4
9011,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,great,4
9423,BATTLE OF FONTENOY,Bartholomew Dowling (1823-1863),1823,Poems on War,their,4
751,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Historical Poems,her,4
8996,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,who,4
1858,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,men,4
1444,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,him,4
1012,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,all,4
5221,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,man,4
4147,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,where,4
1760,"THE BATTLE OF SALAMIS (from ""The Persians"")",Aeschylus,525,Historical Poems,ship,4
5234,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,like,4
9629,BY NIGHT WHEN OTHERS SOUNDLY SLEPT,Anne Bradstreet (c.1612-1672),1612,Religious Poems,him,4
4160,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,she,4
5243,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,them,4
5244,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,into,4
4730,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,them,4
4166,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,till,4
5112,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,his,4
1976,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,town,4
5254,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,way,4
9032,THE BATTLE OF BLENHEIM,Robert Southey (1774-1843),1774,Poems on War,twas,4
4975,CRADLE SONG,William Blake (1757-1827),1757,Poems for Children,sleep,4
992,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,out,4
9189,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Poems on War,our,4
9153,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Poems on War,their,4
1423,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,leader,4
4861,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,mine,4
802,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Historical Poems,oer,4
808,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Historical Poems,our,4
1881,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,world,4
9135,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Poems on War,deep,4
9132,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Poems on War,her,4
1928,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,shall,4
9380,BATTLE OF FONTENOY,Bartholomew Dowling (1823-1863),1823,Poems on War,god,4
4782,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,out,4
772,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Historical Poems,their,4
5090,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,old,4
5091,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,father,4
1871,BOSTON,"Ralph Waldo Emerson
                    (1803-1882)",1803,Historical Poems,what,4
5102,FATHER WILLIAM,Lewis Carroll (1832-1898),1832,Poems for Children,yet,4
4168,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,broke,4
4759,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,ages,4
9183,BATTLE OF THE BALTIC,Thomas Campbell (1777-1844),1777,Poems on War,oer,4
206,THE DREAM CALLED LIFE,"Pedro Calderón
                    de la Barca (1600-1681)",1600,Dramatic Poems,this,4
1613,THE BATTLE OF NEW ORLEANS,Thomas Dunn English (1819-1902),1819,Historical Poems,how,4
1058,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,red,4
4306,THREE DAYS' RIDE,Stephen Vincent Benét,1898,Narrative Poems,them,4
1660,"THE BATTLE OF SALAMIS (from ""The Persians"")",Aeschylus,525,Historical Poems,host,4
3787,THE SWIMMERS,George Sterling (1869-1926),1869,Narrative Poems,fire,4
4578,AUTUMN,George Sterling (1869-1926),1869,Nature Poems,what,4
8608,THE FAIRIES,William Allingham (1824-1889),1824,Poems on the Supernatural,she,4
5393,I'LL TELL THEE EVERYTHING I CAN,Lewis Carroll (1832-1898),1832,Poems for Children,whose,4
9768,THE DOUBTER'S PRAYER,Anne Bronte (1820-1849),1820,Religious Poems,heart,4
942,THE BATTLE OF LEXINGTON,Sidney Lanier (1842-1881),1842,Historical Poems,haste,4
4701,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,goes,4
182,THE DREAM CALLED LIFE,"Pedro Calderón
                    de la Barca (1600-1681)",1600,Dramatic Poems,all,4
4712,BY THE SHORE,Edward Carpenter (1844-1929),1844,Nature Poems,come,4
